GEOID,Capita,Population 2021,GDP,GDP,TempChg,PrepChg,PrepExt,ColdExt,HeatExt,DryChg,ImpSurface,HouseDen,PopEst,HouseSLR,RoadSLR,Hazard(H),Expos(E),Vulner(V),Risk=HEV,HEV*100
05015,34040,"28,814","968,041,000","968,041",1.775211152,0.214338571,79.5,43.9,33.2,-0.143875934,0.978428138,85.46285066,28438.66667,0,0,0.208140635,0.007546028,0.319352117,0.000501586,0.0501586
05017,47701,"9,538","245,185,000","245,185",1.439945814,3.534757199,472.6,37.5,43.7,0.862334476,0.584618287,54.76838056,5140,0,0,0.505431237,0.004031074,0.302512248,0.000616348,0.0616348
05019,46286,"21,274","751,849,000","751,849",1.533407979,0.291233668,94.6,45.4,37.3,-0.086065709,0.605542186,62.34184746,16243.66667,0,0,0.202912936,0.00453657,0.296541772,0.000272975,0.0272975
05021,69089,"14,201","349,451,000","349,451",1.631936959,2.621566837,396.1,46.1,37.8,0.555766464,0.761055831,72.48837599,5058,0,0,0.44167974,0.005284808,0.304621101,0.000711044,0.0711044
05023,31483,"25,445","622,875,000","622,875",1.422046196,1.106451333,126.1,46.2,32.5,-0.005643333,1.228534001,102.8122945,19784.66667,0,0,0.214456985,0.009042603,0.296584933,0.000575152,0.0575152
05025,29235,"7,378","151,474,000","151,474",1.523785256,0.172627879,85.2,41.1,43.6,-0.089530413,0.506443061,34.34889866,5181.333333,0,0,0.203282756,0.003452766,0.300045054,0.000210598,0.0210598
05027,72557,"22,150","981,839,000","981,839",1.638618505,2.735633261,301.4,41.1,42.5,0.435894395,0.742903735,67.43114271,13532,0,0,0.3906782,0.005414098,0.283870745,0.000600435,0.0600435
05029,67080,"21,077","746,263,000","746,263",1.690269815,0.140347546,81.7,41.8,37.4,-0.113253292,0.808269347,74.80572156,11125,0,0,0.203871215,0.005805887,0.297254058,0.000351846,0.0351846
05031,48045,"113,993","5,245,632,000","5,245,632",1.597107077,2.307936836,251.7,46.5,37.3,0.297949022,2.03942692,245.8975833,109182.6667,0,0,0.3447065,0.017718906,0.310375597,0.001895719,0.1895719
05033,23343,"61,891","1,749,952,000","1,749,952",1.638063909,1.295985715,182.5,44.7,34,-0.066147414,1.668927985,231.4866458,74968.33333,0,0,0.267061102,0.014054764,0.311337913,0.001168601,0.1168601
05035,36043,"47,139","1,671,569,000","1,671,569",1.535432533,3.119793766,500.7,40.3,39.6,0.778228559,1.156191933,200.6938342,46377,0,0,0.503934269,0.009549493,0.294787032,0.001418609,0.1418609
05037,50716,"16,420","419,117,000","419,117",1.602093206,0.089903223,80.5,41.5,39.3,-0.107222877,0.650737511,66.97562804,8264,0,0,0.196777295,0.004609527,0.307106303,0.000278561,0.0278561
05039,48387,"6,185","238,227,000","238,227",1.532272816,0.209110106,89.5,48.8,39.4,-0.094913262,0.500265601,45.5302542,4923.333333,0,0,0.213620661,0.003422294,0.275328917,0.000201285,0.0201285
05041,94813,"10,479","516,319,000","516,319",1.43888279,0.37013172,81.4,40.1,42.8,-0.107665177,0.474640688,68.92981623,5445.666667,0,0,0.1932951,0.003303594,0.297047671,0.000189685,0.0189685
